Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Kilburn,6379.737194100002,8.3023668,15.0002008,24.0924378,37.8682127,54.205189,69.62684,89.19633400000002,112.41458899999999,133.87448800000004,156.04716399999998,188.836764,221.73324800000003,246.27757599999998,253.19638199999997,255.711662,234.420746,205.938062,170.06761,150.96286880000005,128.4106768,113.8472788,99.06607,93.955274,85.6172212,81.1463632,76.90791120000002,75.2483912,73.36860320000002,71.66538320000002,70.11758999999999,70.40538199999999,71.16995680000002,70.7512828,68.2091184,66.91515760000001,66.49305559999999,63.2383868,61.8396456,64.631372,66.69646600000002,68.054816,72.51854279999998,77.175075,80.86049300000002,88.584109,88.31404700000002,96.549864,98.990071,110.502545,105.86646499999999,119.53368700000001,113.710206,115.922794,99.440972,95.837128,76.6442694,66.52854540000001,52.5208514,46.3129184,38.227377600000004,34.018520800000005,29.808494,29.437641999999997,30.1240418,28.8544046,30.436124400000004,32.1084148,29.930780199999997,25.98179,24.4105096,22.2106212,19.0232372,16.6310218,14.49993848,12.26693288,8.42947196,5.8509725999999995,3.3136726000000003,1.7741813199999998,0.8512933199999999,0.20702424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsbury,5289.4950451500035,15.555156600000005,39.01532260000001,69.44264460000001,101.4368006,135.55252660000002,169.46488000000005,185.10762,192.234332,203.522128,186.233894,197.509516,184.393378,184.179612,160.911991,160.14301500000005,129.757425,124.347471,101.075564,96.368871,83.81951900000001,76.23898100000002,66.51791899999999,66.03734399999999,64.39871200000002,63.04596400000001,61.70952920000001,63.08190060000001,61.60119460000002,59.55800060000002,58.60886060000002,59.00992640000001,59.0028296,58.089491599999995,57.78424079999999,58.29309960000001,57.773157999999995,56.44674739999999,56.602273,58.0325792,59.16159520000001,71.96671780000001,88.6063618,95.4483502,95.69687480000002,95.78324940000002,80.89149200000001,69.59889000000001,62.755269999999996,63.035303000000006,57.83388860000001,60.72306860000001,51.34897800000001,48.2149704,39.68997320000001,38.342106799999996,30.964375399999994,28.2576856,24.0899366,25.037405,22.6527942,21.671828,20.5067576,21.2473676,17.9914758,17.727245399999994,15.591970800000002,15.525692,12.05712786,11.196853460000002,8.82233798,8.03186892,6.304226979999998,5.76329632,4.7287336600000005,4.06023276,2.98537491,1.78348845,1.00649385,0.45532651,0.03364149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
London Bridge,25461.11342099999,10.5191368,27.001574800000004,44.6260848,73.63113879999999,130.9770588,186.09575800000002,264.203114,360.421744,459.06827000000004,535.71472,612.7565639999999,686.8017440000001,750.1171240000001,766.469224,761.752244,738.430194,658.9350079999998,550.3575880000002,467.40297400000003,387.91646,309.931282,261.257296,227.896786,207.93645000000004,196.96353400000004,191.790944,192.497622,199.64259200000004,203.43783800000003,206.972938,215.54402599999997,218.873054,223.520306,219.938488,219.44346800000002,218.455154,221.31496600000003,216.43591400000003,226.504972,239.357348,261.975712,275.25755200000003,307.38576,337.87016,376.522114,406.7856900000001,461.07505,531.1022820000002,588.020626,654.61271,692.677346,718.946914,683.1183540000002,644.348038,557.721714,492.9776700000001,419.09227600000014,367.94688800000006,325.32169800000014,299.6903180000001,276.77993000000004,252.816456,236.737746,223.313738,219.512054,215.487616,213.171252,212.145968,201.758434,187.810288,175.864486,164.43014399999996,143.27673520000005,122.88233600000001,103.0704,77.27376559999998,53.16312440000001,37.4908122,24.318299399999997,14.1853154,8.8774098,3.385537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neasden,3497.2322910999983,10.838993,17.8699118,29.552959800000004,39.5776152,58.37321800000001,79.2806436,96.114892,116.51013600000002,124.7645952,135.1655792,135.73805520000002,143.0273,132.55472079999998,133.3987428,122.14322880000003,114.1871348,98.31008879999999,89.11862320000002,78.51205560000002,67.48521159999999,60.0606416,55.39746160000001,50.264586400000006,47.465365399999996,44.8398854,40.4631124,36.9886404,36.9068068,34.5767814,34.4676934,36.43281300000001,36.83945739999999,35.92855160000001,37.092215,37.384244,36.391276,36.29799920000001,36.97203740000001,35.7445052,35.4211742,36.0473828,35.087645200000004,35.64040040000001,37.7618452,41.108132399999995,42.75083480000001,49.537526799999995,53.4437332,54.807269999999995,52.96794040000001,52.43809880000001,45.354905,39.467976,34.0959766,31.741306599999998,26.5258288,22.9616238,20.489314,18.0541372,15.154639000000001,13.378174599999998,12.32859766,10.97178606,9.93998446,8.372848340000001,7.520784860000001,7.3395984000000025,7.11566266,7.14399826,6.924716299999999,6.513236580000001,6.11895418,5.55328626,4.44416762,3.45942882,2.81572498,1.80813358,0.8921552400000001,0.5065052800000001,0.18907676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Greenwich,7917.703118700002,17.915451,24.0597546,28.7156994,41.35010800000001,58.03045600000001,53.071339,77.1681054,97.04930259999999,107.222203,119.972815,130.881021,125.512537,128.313999,123.330979,110.752033,100.4254278,92.3044866,76.61464860000002,70.46455320000003,61.89922720000001,60.88855760000001,52.63671980000001,50.883958200000016,53.33431060000001,55.387425199999996,53.373484,57.156356,60.3042336,62.4590856,68.16611979999999,73.4716598,81.47651680000001,84.4912408,83.91862280000002,83.43940600000002,86.24171,89.83630600000002,89.2523368,91.1501728,103.2667128,102.6469248,103.5628228,122.093826,148.453422,161.386328,177.32113800000005,201.790176,217.33314199999998,233.04862999999997,238.273964,276.47276600000004,269.112204,264.491942,234.997346,222.40026200000003,177.19157600000003,161.69587600000003,133.54413000000002,126.43643200000002,116.58823800000002,108.79466599999999,101.2172692,101.6935632,97.7782152,90.1462572,83.55944380000003,79.84679460000002,76.02268260000002,65.72927460000001,56.51768660000001,50.518206799999994,41.218396000000006,34.48982400000001,30.9758248,29.568656199999996,25.675025,22.617434000000006,17.43375594,12.89144414,7.74503674,5.09222714,2.32886894,0.8123389999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queensbury,5029.166484749996,23.7655754,53.932585399999994,83.9989374,136.03039740000003,196.106957,224.749764,248.31726400000002,257.728072,239.27055,215.420086,210.83016400000002,201.432862,184.327582,185.606454,158.296042,141.05827000000005,116.56065,104.59666259999999,83.01022459999999,73.87877259999998,69.04585660000001,61.22274460000001,61.76784880000001,59.17968800000001,56.32353000000001,49.92634720000001,47.70179160000001,47.32451740000001,45.706897399999995,45.13199240000001,46.3656586,45.78538300000001,42.33942580000001,41.2151506,42.7388996,42.344846800000006,40.646562,41.2877392,41.168203999999996,40.4056626,40.224064,39.42754000000001,39.9402918,39.059303,40.147861999999996,40.2753232,43.897049200000005,46.6281314,48.0326614,47.5012534,46.45669620000001,44.3714942,41.4466422,40.1706626,35.17070579999999,32.224476200000005,28.974482000000005,25.158097199999997,22.9713,23.013398199999997,21.5534868,19.1833784,17.6906462,14.972031,12.55205346,10.42182926,9.439001660000002,8.28439246,7.57574106,6.9601852000000015,6.8096250000000005,5.7276063200000005,5.001780720000001,3.6880905,3.0911392,2.03067097,1.46225985,0.56188705,0.4252986700000001,0.09732837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwark,3537.5804218,0.93210554,1.5673862400000005,2.93763164,7.56000164,12.30595044,19.3187057,23.5455904,31.501612199999997,41.9973402,47.7752374,56.851122600000004,67.63443720000001,71.19076,65.24361,62.58766200000001,52.89834400000001,43.9178276,35.29050080000001,31.509347400000006,27.52051520000001,23.9901888,20.379805800000003,19.095132999999997,19.1676408,19.9426674,20.1725942,23.1034682,25.775069400000003,27.005601,27.766823,31.316464600000003,32.218678000000004,33.439876000000005,32.630670800000004,34.184339800000004,33.0684698,36.18125379999999,37.16762620000001,42.5484184,47.67652740000001,53.4415454,55.769586200000006,65.1649994,75.8313784,86.91047800000003,95.902318,107.77168520000002,118.12285,124.962696,132.06766000000002,136.597024,133.733944,121.15780800000002,104.72996060000004,84.3505052,67.70044320000001,56.401259200000005,48.79347580000001,42.9375806,38.1358156,36.028553,31.631026600000002,31.2452586,30.7329084,32.348069800000005,32.625385200000004,34.345871200000005,32.304155200000004,34.61504000000001,36.0365718,33.8409526,31.3160792,29.0563364,21.79717794,15.40227014,12.24774914,7.726642300000001,5.27299172,4.24671218,2.50499118,0.58411858,0.27154322000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. John's Wood,7499.165037359999,3.1328074800000003,4.5086854800000005,7.411522080000001,11.66874448,18.66578,26.269058200000003,36.8306832,51.8505746,67.7832302,96.37611700000002,125.426637,170.17534600000005,193.61528,219.880328,213.088898,205.731928,172.260099,152.595957,128.81049299999998,116.700459,103.062185,97.25191,90.06385600000002,84.37931680000001,86.28016880000001,87.95605480000002,90.02097680000001,93.2743108,96.39038199999999,97.400656,98.797048,98.743727,98.993709,96.495065,93.70323100000002,91.5385382,91.2500592,93.1435282,101.4450422,115.65950819999999,127.82463500000001,140.484353,161.346082,165.880944,178.42880599999995,179.359514,203.193686,199.45995,219.15777799999998,203.94402,211.95240800000002,182.14096,172.56856399999998,140.464676,133.702078,108.267698,97.99901599999998,82.23919079999999,76.50981280000002,65.73952980000001,62.74707040000001,57.048353399999996,54.30000980000001,48.75603580000001,44.4639322,39.035773600000006,35.5141006,31.402248200000002,28.106666800000006,24.9685012,22.793765600000004,19.324682600000006,16.466298700000007,13.309532240000005,9.44204272,5.973367120000002,3.2845527280000004,1.300109828,0.993143688,0.47654540799999995,0.16270260800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanmore,4742.9766523,16.9190226,22.7531558,41.228181799999994,68.3976578,83.4609458,96.9883952,122.169002,137.659222,156.904406,179.914856,203.181672,215.83036800000002,210.04482799999997,190.103914,165.62627399999997,138.645566,115.46643480000002,99.1023988,86.1397808,77.62029480000002,67.4496636,57.77575480000001,56.858349800000006,54.00238300000001,50.1250276,52.60189360000001,51.58854660000001,49.76363680000001,47.7533256,46.894255,45.7269662,45.145811200000004,45.034738,44.5470474,42.8440948,42.403295799999995,40.977077799999996,39.347773,39.1024346,40.40743320000001,46.3308222,50.0756422,56.60224100000001,64.594052,72.11902400000002,72.683766,84.189892,87.28215,91.5262552,86.17369020000002,84.54911120000001,73.05811240000001,65.04647320000001,52.8224374,48.6002954,41.9481936,36.3353724,30.606976,26.206086199999998,23.3010976,19.437932999999997,16.3179762,15.2667268,14.839503200000001,13.065122600000002,12.667019600000005,11.447293260000002,11.41997206,9.23450486,8.22323326,6.81851926,5.8731346,4.37342396,3.81658564,2.9448782000000002,2.0621926,1.4104584,0.77694124,0.42365876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swiss Cottage,6811.875864000001,4.3893762,7.5643884,11.6582504,18.234066000000002,24.17829500000001,33.6945958,44.5659076,63.15026760000001,82.59084000000001,115.25852600000002,147.22956200000004,190.35925200000003,212.77128600000003,231.52395600000003,224.767612,215.629578,185.72558,160.00963000000004,135.93421,127.73251000000002,113.40859000000002,102.165111,98.3328078,92.1424688,81.69716880000001,77.4447308,77.3419698,78.33570499999998,79.39386999999999,79.128438,78.34807920000002,78.01454720000002,75.5308152,72.97121320000002,71.0624952,70.192194,69.02265000000001,68.853234,73.468728,83.424198,90.69281,103.269122,116.33436,125.151456,131.932654,143.723042,156.02497,166.115362,167.249412,164.09533199999996,158.00675600000002,148.280596,135.115348,127.273904,117.357812,104.51042200000002,84.45617040000002,70.9885684,62.70209340000001,57.28666340000001,50.269259399999996,47.8551396,46.162748799999996,41.71494220000001,39.074604799999996,42.026472399999996,43.2310708,39.859486800000006,37.893144799999995,32.6943544,25.8221632,20.1119708,16.8348722,13.36946046,10.75880826,7.2083788,4.7948390000000005,2.7305424,1.16951974,0.29325374,0.1872748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
