Station,Direction,Day,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Queensbury,NB,SUN,98.45014564800002,0.07503121800000001,0.205074238,0.298772178,0.5307021780000001,0.536614186,0.766316854,0.6934175220000001,0.8233282020000001,0.847650262,1.2503335279999999,1.276387788,1.59247072,1.89553542,1.95584634,1.7309980999999999,1.73180536,1.6743826000000002,1.61774384,1.61981732,1.87572962,1.8121548600000004,1.73263774,1.4417339800000002,1.7063614400000002,1.60464216,1.7145552200000005,1.80843346,1.96775664,1.81801132,1.93191286,1.89650134,1.8319133000000003,2.06612944,2.0996661600000004,2.06325078,2.00642166,2.1397166600000004,1.75820476,1.64312194,1.4803029800000005,1.6261863,1.5443962,2.01852262,2.16568796,2.19157178,2.13476536,2.12162108,1.8007371800000005,1.7936431600000002,1.7887561,1.7854027,1.8740944,1.8275999000000005,1.5177373000000005,1.45342962,1.209367104,0.972871174,0.8279476740000001,0.8100497060000001,0.7090009460000001,0.7091695980000001,0.6443797120000001,0.6717428120000001,0.698733332,0.6641654840000001,0.643332088,0.5938682240000001,0.47133256,0.2975268188,0.1916948268,0.1430675288,0.18207410480000005,0.2093723768,0.191904346,0.191904346,0.165994604,0.085108448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwark,NB,SUN,3002.9527501496414,0.60104162,0.96124288,1.0961398999999998,1.41251264,1.213405252,1.6805576519999998,1.796536752,2.090713212,10.669928932000001,12.25718396,18.68371004,20.47445688,28.2864494,22.068539,32.09027880000001,30.495284,36.350369799999996,35.1442838,41.43278839999999,42.24106620000001,47.06505580000001,49.2472894,54.2511346,59.595053,59.64177240000001,60.247610400000006,60.68660260000001,61.431979399999996,59.449341,58.53578280000001,57.3852188,56.70555040000001,51.98033120000001,47.65858200000001,45.05874080000001,45.3049614,45.281694,47.75621640000001,50.1548004,53.231390399999995,53.56018140000001,53.82227560000001,54.45139400000001,60.1928676,58.0839204,61.0632416,69.4817276,72.67351,66.36345399999999,72.71049400000003,71.0939016,65.60722240000001,59.106824399999994,64.6886664,56.61734440000001,61.17254600000001,56.92519740000001,59.2473334,58.90654540000001,53.57797300000001,45.221225,38.89798640000001,39.468295399999995,26.429907000000004,27.2036984,24.367110800000003,27.554672399999998,17.7072236,16.54123308,14.25145088,14.93322968,14.170905880000005,13.897650560000002,15.00946548,13.51670268,7.84104348,2.7521888800000003,2.12644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4543213999999996e-05,3.4543213999999996e-05,3.4543213999999996e-05
St. John's Wood,NB,SUN,928.0786921100001,0.23099341399999998,0.341364994,0.4213056940000001,0.5866521880000001,0.587026344,0.6988689640000001,0.7604286440000001,0.8332651740000001,1.104445754,2.01368133,2.63874943,3.72319529,5.11731338,6.41386064,6.928633240000001,7.39601938,7.4132394,7.275459200000001,7.217806200000001,7.560939000000001,8.363690260000002,9.18193482,10.293093300000002,11.365528700000002,12.6102145,14.197684099999998,15.3252294,16.623678400000003,17.837840600000003,18.8929356,19.088085600000007,19.9800298,20.3265872,20.540476400000006,20.573757999999998,20.757230600000003,20.774925000000003,20.7327888,20.2832,20.715284800000006,21.1204254,22.099163800000003,22.4432052,23.071238,23.6733554,23.3095288,22.4583408,22.4114456,21.8540828,21.164533600000002,21.1240076,20.428550600000005,19.651757000000003,19.1543858,17.417239600000002,16.2630562,15.1007094,14.1628304,13.875853200000002,13.962025700000002,14.2434819,14.4326728,13.592479199999998,11.7752203,10.26510792,8.45579798,7.556799680000001,6.940739580000002,6.85466656,6.3395325,5.77953964,5.067714240000001,4.517622320000001,3.61797378,2.8379984339999997,1.9728484340000003,0.995709034,0.296437254,0.063172114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stratford,NB,SUN,41513.967109083984,55.24004179999999,76.83659980000002,105.1495518,152.0954108,177.94370800000004,203.64276,239.128752,270.533788,259.990044,258.19919400000003,241.82612400000002,254.52769400000003,255.295382,287.020906,322.7262360000001,371.26392599999997,376.047286,417.94539,433.98773000000006,484.369426,539.797486,597.2304340000002,637.5721940000002,693.051046,716.9172440000001,735.3673980000002,758.767116,767.5040759999999,787.402008,793.4126600000003,806.8904460000001,804.0721120000003,846.999792,836.098124,872.2957039999999,872.819824,926.110932,929.823532,984.32386,969.13712,1016.5719400000003,1008.054074,1003.264746,965.4072259999999,984.970666,931.736014,911.190934,855.3172900000002,828.27115,768.9147300000002,789.6388880000002,765.0844940000002,766.0888060000002,712.5706720000002,726.722512,652.701366,636.789346,600.2253059999999,602.9032200000001,539.5024900000002,504.38473799999997,441.26757000000015,392.63821600000006,352.1532420000001,318.986392,295.57805,271.800312,272.840998,259.47497000000004,240.762782,241.680848,227.679538,190.72372,143.467042,104.39235,52.782938,17.335594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014575256000000003,0.238101876,0.238101876,0.238101876
Swiss Cottage,NB,SUN,821.404917766,0.645522464,0.7818638640000001,1.1198604840000002,0.8870195900000001,1.016318366,0.8488662260000001,1.0877688859999999,1.819832066,2.126688,2.76193474,3.5160937000000003,3.6532517999999996,3.5954170000000003,4.40568396,4.942189880000001,5.9910400799999985,7.899844120000001,8.57732972,9.23290212,10.0885043,10.3380757,10.0451349,10.414154300000002,10.4270021,10.214925599999999,10.267021000000002,10.714925,11.282950999999999,12.050988199999999,13.2129908,14.2836092,14.873188800000001,15.0833542,14.712999,14.973776,14.922073,14.688695200000002,14.288623199999998,14.9262212,14.3084362,14.6426464,15.0107732,15.3483828,15.759242600000002,16.4779652,16.047382600000002,15.9453968,16.481281000000006,16.547934599999998,15.6886024,15.6289478,15.904669199999999,16.3144566,16.361413,17.380071,18.5822058,18.2234934,17.1477046,16.787746600000002,15.5600732,13.7221538,12.364801000000002,11.327450599999999,10.252895600000002,9.57113,8.7561746,8.6718168,8.973142600000003,9.7649162,10.0381671,10.4731759,10.8575893,10.8162589,8.662995420000001,7.78915662,5.771134420000001,3.71291042,1.84592362,1.1656601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterloo,NB,SUN,5875.26761701856,3.4613024800000005,6.17540618,7.612179980000001,12.53409412,12.83883042,18.0752047,16.951189000000003,19.7399542,20.7588656,22.0420172,19.4882994,22.509622,24.2707358,27.6756346,32.026541800000004,39.4958838,47.476594399999996,55.1202596,63.289486,75.60942080000002,84.7194412,93.10198200000002,98.9189128,102.17803680000002,104.0651736,105.5931736,110.6385116,113.21384679999998,116.043328,116.31560120000002,117.6839072,114.86983320000002,115.1602632,114.870686,114.63129800000004,111.89858999999998,110.04977,110.61183999999999,106.948718,106.728646,108.29372200000002,112.05401720000002,110.54208919999999,112.2783362,113.9502602,118.47882220000001,120.932381,128.547805,134.891716,138.410962,138.43532199999999,133.368294,127.213342,122.921752,116.873674,108.307222,102.54446,96.4543052,85.04760920000002,78.57390020000003,71.5087902,69.61930219999999,62.1038,60.43669600000001,53.55783620000001,53.65060079999999,48.644118799999994,50.67359879999999,50.2441898,54.1197262,52.98994160000001,51.409667000000006,49.8326994,45.083179,33.7476214,23.37106140000001,15.106136000000005,5.435652600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042624664,0.07316683064,0.07316683064,0.07316683064
Wembley Park,NB,SUN,2803.121944590001,0.982545826,1.213542366,2.012795886,2.496000686,2.7611328260000003,3.04699958,4.24984164,5.55822692,7.60136018,8.31206118,11.0644685,11.680449099999999,12.6278283,12.6237415,14.9821406,18.3775682,22.045758600000003,24.6229478,26.683929600000006,28.2481316,27.1454106,26.865410600000004,27.229881199999998,29.385880600000004,31.047928999999996,32.9791994,35.010527200000006,36.886228,38.324218,38.690248,40.2184712,42.7241638,46.56110220000001,48.9693462,53.23016820000001,54.68261640000001,56.59645520000001,56.28514540000001,56.670151399999995,55.93724140000001,58.22838520000001,57.1506392,60.450593999999995,63.866836000000006,66.23798920000002,65.89303079999999,68.361674,68.808988,69.840438,72.26123280000002,72.768642,71.12653399999999,66.87869140000001,61.33192420000001,55.755323399999995,52.406725400000006,49.770769400000006,47.947964,46.3134066,46.048601399999995,48.0064474,44.912646,43.3750794,40.28114980000001,37.571531,33.2115846,35.446385,32.600569199999995,32.28701860000001,31.603759399999998,27.497810600000005,23.441709600000006,21.3883116,20.2007246,13.988297699999999,14.3368549,10.250254900000002,7.6124073,3.7131371,3.316612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,NB,SUN,10821.535370049982,4.2353375,5.333628040000002,39.37048404,54.95172344,121.49416074,154.29166574,173.2540812,177.88847719999998,195.23423400000001,159.085046,157.38446399999998,175.219434,171.427118,178.74891000000005,173.354506,179.099992,173.460606,177.72019600000004,169.40058000000005,190.837446,189.48663800000003,198.613618,192.14881200000002,204.60165,200.377886,202.23521000000002,193.24201,202.68340200000003,193.35752,190.60697,183.45325600000004,190.56387800000005,186.32956600000003,189.75730000000004,182.34347,189.809406,186.801918,184.627722,176.307096,181.11553999999998,173.058118,173.549404,167.04789399999999,176.29926,176.009228,179.088442,172.946328,182.42078200000003,180.877814,179.537302,178.29090000000005,183.073042,175.591094,169.547848,157.50656999999998,153.42732800000005,139.71617200000003,135.13367000000002,119.67913,116.32002400000002,102.299956,96.453468,82.809162,79.23252300000001,70.72700900000002,66.3170164,60.12516680000001,57.73192680000001,53.4482198,48.06556500000001,42.727866799999994,38.37335220000001,31.915522999999997,22.444482999999998,15.7203978,9.6402326,4.119722800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016032138000000005,0.002289312060000001,0.002289312060000001,0.002289312060000001
West Hampstead,NB,SUN,1393.659682696,0.255496378,0.3959323480000001,0.5425823280000001,0.48476807,0.491077252,0.545201292,0.879175182,0.8331966479999999,1.18952912,1.19350047,1.48088447,1.4602964500000002,2.2065385240000004,2.9341913840000005,3.4566779000000003,3.6909942,4.912788160000002,5.999811640000001,7.41981898,9.2357477,11.126836599999999,11.8956296,12.6116868,13.382244400000001,14.239536,14.200481,15.523444199999998,16.3046684,18.820568800000004,20.481404800000004,22.206827800000006,23.9026012,26.9203448,24.7311598,25.3050794,25.3253992,25.3581362,23.6424234,25.627703,25.3291668,26.9607124,27.065289,30.0085832,31.310462199999996,33.6606904,33.6536356,36.4615078,36.239481,37.8408638,37.9410302,40.290408600000006,38.3536122,39.0036144,36.7436574,35.8752926,32.6697434,33.2175498,30.443109000000003,29.545300800000003,25.5979074,25.419576600000006,21.6890224,21.0584,18.676943800000004,20.501764400000006,18.954110999999997,19.651349600000003,17.621402399999997,17.7519112,16.598754800000002,15.881507000000001,13.4533224,12.975781800000002,11.681979,8.69532952,6.12898672,4.5711457200000005,2.37917792,0.54321452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westminster,NB,SUN,8975.335384103122,1.66187926,2.16529442,2.91373134,3.84012386,3.99650866,5.311926799999999,6.30347014,9.47557682,9.49837382,12.922135620000002,15.13058282,18.70727472,20.69821332,25.5318894,28.129912800000003,32.21826,35.78113159999999,39.1566184,42.843951,48.355564,54.47869100000001,62.78135500000001,72.0247128,83.7859878,96.7520898,111.8867378,130.8463238,153.026857,169.516292,178.28106,184.353032,185.065468,176.63793400000003,172.01377400000004,171.71428999999998,169.587398,166.09977199999997,170.266736,182.86134400000003,196.942306,208.626028,235.27944,260.00961800000005,278.651076,299.729866,312.10183,307.425408,294.62302200000005,276.555298,255.883922,240.52105800000004,226.47931800000003,219.47920600000003,208.49817600000003,194.942234,183.21911799999998,169.64066200000002,152.566778,141.266288,128.29897200000002,119.046002,110.9239248,103.5477808,95.0094448,87.72656080000002,78.96265279999999,71.21848940000002,64.5878146,60.635732,56.61479960000001,54.685598999999996,49.29353920000001,49.60283860000001,44.3369592,33.9511636,23.622766199999997,17.402690600000003,6.796124000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006630160799999999,0.00264709568,0.00264709568,0.00264709568
